::UMS

MEM                      10

MEM_S_SUCCESS             Successful completion
MEM_E_BAD_BUFFER_NO       MEM_E_BAD_BUFFER_NO
MEM_E_BAD_DATA_WRITTEN    MEM_E_BAD_DATA_WRITTEN
MEM_E_BAD_STRING          Non-printable characters are not allowed in data
MEM_E_CORRUPTED_BUFFER    MEM_E_CORRUPTED_BUFFER
MEM_E_DATA_TYPE           MEM_E_DATA_TYPE
MEM_E_DATA_WRITTEN        MEM_E_DATA_WRITTEN
MEM_E_EXTRA_DATA          MEM_E_EXTRA_DATA
MEM_E_INVALID_SIZE        MEM_E_INVALID_SIZE
MEM_E_LESS_DATA           MEM_E_LESS_DATA
MEM_E_MALLOC              MEM_E_MALLOC
MEM_E_NULL_BUFFER         MEM_E_NULL_BUFFER
MEM_E_NULL_COLUMNS        MEM_E_NULL_COLUMNS
MEM_E_NULL_LIST           MEM_E_NULL_LIST
MEM_E_NULL_ROWS           MEM_E_NULL_ROWS
MEM_E_NULL_SRC_BUFFER     MEM_E_NULL_SRC_BUFFER
MEM_E_NULL_SRC_LIST       MEM_E_NULL_SRC_LIST
MEM_E_UNIX                UNIX call "$1" failed in MEM
