Flag,Unit of Measure,"ISDP
TYPE","ISDP
FAMILY",ISDP,OPS,COPICS,Grade,"Stock
Size",X,Y,COMMENTS
,,,,,,,,,,,
D,Each,BEAM,STD_CHANNEL,C 75 X 6.1,10GC3X4.1X40,10GC3X4.1X40,AH-36,40LF,,,Steel Channel AH36
D,"""",BEAM,STD_CHANNEL,C 75 X 7.4,10GC3X5,10GC3X5X40,AH-36,40LF,,,
D,"""",BEAM,STD_CHANNEL,C 100 X 8,10GC4X5.4X40,10GC4X5.4X40,AH-36,40LF,,,NOTE 1:  Staging tree conversion must be a
D,"""",BEAM,STD_CHANNEL,C 130 X 10.4,10GC5X6.7X40,10GC5X6.7X40,AH-36,40LF,,,                    percentage of 40ft. Lengths.
d,"""",BEAM,STD_CHANNEL,???,10GC6X15.3,10GC6X15.3X40,AH-36,40LF,,,
D,"""",BEAM,STD_CHANNEL,C 150 X 12.2,10GC6X8.2X40,10GC6X8.2X40,AH-36,40LF,,,
d,"""",BEAM,STD_CHANNEL,???,10GC7X19.1,10GC7X19.1X40,AH-36,40LF,,,
D,"""",BEAM,STD_CHANNEL,C 200 X 17.1,10GC8X11.5,10GC8X11.5X40,AH-36,40LF,,,
,Each,BEAM,I_T_MET,,11G-DW10X12,11GW10X12X40,AH-36,40LF,,,Steel Beam AH36    (De-flanged)
,"""",BEAM,I_T_MET,,11G-DW10X17,11GW10X17X40,AH-36,40LF,,,(is created from a Steel Beam)
,"""",BEAM,I_T_MET,,11G-DW10X19,11GW10X19X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW12X14,11GW12X14X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW12X16,11GW12X16X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW12X19,11GW12X19X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW12X22,11GW12X22X40,AH-36,40LF,,,NOTE 1:  Staging tree conversion must be a
,"""",BEAM,I_T_MET,,11G-DW12X26,11GW12X26X40,AH-36,40LF,,,                    percentage of 40ft. Lengths.
,"""",BEAM,I_T_MET,,11G-DW12X30,11GW12X30X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW12X50,11GW12X50X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW12X58,11GW12X58X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW14X22,11GW14X22X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW14X26,11GW14X26X40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW14X30,11GW14X30x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW14X34,11GW14X34x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW14X38,11GW14X38x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW14X43,11GW14X43x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW16X31,11GW16X31x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW16X36,11GW16X36x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW16X40,11GW16X40x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW16X45,11GW16X45x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW16X50,11GW16X50x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW18X35,11GW18X35x40,AH-36,40LF,,,
,"""",BEAM,I_T_MET,,11G-DW18X40,11GW18X40x40,AH-36,40LF,,,
